Unique ID;Name;Division;UF
2.000.310.120;Aster Itaquá;Sem divisão nacional;SP
19.342.677;Athletic Club (MG);Brasileirão Série D;MG
107.206;Athletico Paranaense;Brasileirão Assaí;PR
309.766;Atl. Catarinense FLN;Sem divisão nacional;SC
319.117;Atlântico;Sem divisão nacional;
19.156.147;Atlético (ES);Sem divisão nacional;ES
309.638;Atlético Acreano;Sem divisão nacional;AC
2.000.049.649;Atlético Amazonense;Sem divisão nacional;AM
2.000.067.549;Atlético Batistense;Sem divisão nacional;SC
19.354.605;Atlético Carioca;Sem divisão nacional;RJ
19.214.762;Atlético Catarinense;Sem divisão nacional;SC
310.392;Atlético Cearense;Brasileirão Série D;CE
19.140.897;Atlético Cerrado;Sem divisão nacional;TO
301.113;Atlético de Alagoinhas;Brasileirão Série D;BA
311.951;Atlético de Cajazeiras;Sem divisão nacional;PB
2.000.024.120;Atlético de Salvador;Sem divisão nacional;BA
19.081.219;Atlético Gloriense;Sem divisão nacional;SE
301.151;Atlético Goianiense;Brasileirão Série B Betano;GO
313.903;Atlético Matogrossense;Sem divisão nacional;MT
314;Atlético Mineiro;Brasileirão Assaí;MG
19.340.916;Atlético Mineiro B;Sem divisão nacional;MG
19.042.951;Atlético Mogi;Sem divisão nacional;SP
19.372.315;Atlético Paraense;Sem divisão nacional;PA
19.295.781;Atlético Parahybano;Sem divisão nacional;PB
19.295.431;Atlético Patrocinense;Brasileirão Série D;MG
19.023.857;Atlético Pernambucano;Sem divisão nacional;PE
318.920;Atlético Potengi;Sem divisão nacional;RN
309.145;Atlético Roraima;Sem divisão nacional;RR
311.030;Atlético Sorocaba;Sem divisão nacional;SP
303.861;Atlético Taguatinga;Sem divisão nacional;DF
310.902;Atlético TC;Sem divisão nacional;TO
2.000.209.180;Atlético Torres;Sem divisão nacional;PE
19.009.037;Atlético Tubarão;Sem divisão nacional;SC
311.959;Atlético Universitário;Sem divisão nacional;BA
19.227.768;Audax (SP);Sem divisão nacional;SP
19.076.257;Audax Rio;Sem divisão nacional;RJ
2.102.147;Audax São Paulo;Sem divisão nacional;SP
312.295;Auto EC;Sem divisão nacional;
309.643;Auto Esporte (PB);Sem divisão nacional;PB
313.367;Auto Esporte (PI);Sem divisão nacional;PI
107.208;Avaí;Brasileirão Série B Betano;SC
301.262;Avenida;Sem divisão nacional;RS
2.000.066.145;Aymorés (MG);Sem divisão nacional;MG
19.392.509;Azuriz;Sem divisão nacional;PR
309.654;Bacabal;Sem divisão nacional;MA
309.735;Bagé;Sem divisão nacional;RS
315;Bahia;Brasileirão Assaí;BA
320.262;Bahia de Feira;Brasileirão Série D;BA
309.753;Baiano de Tênis (BA);Sem divisão nacional;BA
309.673;Bandeirante (SP);Sem divisão nacional;SP
104.775;Bangu;Sem divisão nacional;RJ
309.628;Baraúnas;Sem divisão nacional;RN
319.124;Barbalha;Sem divisão nacional;CE
320.391;Barbará (RJ);Sem divisão nacional;RJ
2.110.429;Barcelona (RJ);Sem divisão nacional;RJ
19.318.744;Barcelona (RO);Sem divisão nacional;RO
19.023.759;Barcelona (SP);Sem divisão nacional;SP
2.000.053.639;Barcelona de Ilhéus;Sem divisão nacional;BA
301.296;Baré;Sem divisão nacional;RR
19.213.392;Barra (SC);Sem divisão nacional;SC
19.367.845;Barra (SE);Sem divisão nacional;SE
19.156.764;Barra da Tijuca;Sem divisão nacional;RJ
314.777;Barra de Teresópolis;Sem divisão nacional;RJ
313.190;Barra do Garças;Sem divisão nacional;MT
19.025.445;Barra Mansa;Sem divisão nacional;RJ
19.006.627;Barras;Sem divisão nacional;PI
19.275.450;Barreiros;Sem divisão nacional;PE
316.785;Barretos;Sem divisão nacional;SP
313.439;Barroso (AL);Sem divisão nacional;AL
19.041.305;Baruch Imbituba;Sem divisão nacional;SC
2.000.318.090;Batalhão (TO);Sem divisão nacional;TO
318.889;Batatais;Sem divisão nacional;SP
301.214;Batel;Sem divisão nacional;PR
314.779;Bayer (RJ);Sem divisão nacional;RJ
2.000.135.658;Bela Vista (GO);Sem divisão nacional;GO
19.169.996;Bela Vista (RJ);Sem divisão nacional;RJ
2.000.156.264;Bela Vista (TO);Sem divisão nacional;TO
2.000.240.045;Belenense (PA);Sem divisão nacional;PA
2.000.098.765;Belford Roxo;Sem divisão nacional;RJ
19.023.850;Belo Jardim;Sem divisão nacional;PE
19.170.069;Betim Futebol;Sem divisão nacional;MG
19.339.792;Betis (MG);Sem divisão nacional;MG
19.018.706;Blumenau;Sem divisão nacional;SC
316.773;Blumenau EC;Sem divisão nacional;SC
310.700;Boa;Sem divisão nacional;MG
309.137;Boavista (RJ);Sem divisão nacional;RJ
2.103.277;Boca Júnior (SE);Sem divisão nacional;SE
2.000.283.722;Bom Jesus (RS);Sem divisão nacional;RS
309.138;Bonsucesso;Sem divisão nacional;RJ
19.145.262;Boquinhense;Sem divisão nacional;SE
19.363.426;Boston City (MG);Sem divisão nacional;MG
316;Botafogo;Brasileirão Assaí;RJ
309.751;Botafogo (BA);Sem divisão nacional;BA
19.027.012;Botafogo (DF);Sem divisão nacional;DF
301.208;Botafogo (PB);Brasileirão Série C;PB
314.098;Botafogo (PI);Sem divisão nacional;PI
314.620;Botafogo (RO);Sem divisão nacional;RO
19.317.912;Botafogo (SE);Sem divisão nacional;SE
121.265;Botafogo (SP);Brasileirão Série B Betano;SP
313.279;Bragantino (PA);Sem divisão nacional;PA
314.612;Brasil (CE);Sem divisão nacional;CE
19.295.783;Brasil (PB);Sem divisão nacional;PB
19.044.039;Brasil (RJ);Sem divisão nacional;RJ
308.236;Brasil de Farroupilha;Sem divisão nacional;RS
301.264;Brasil de Pelotas;Brasileirão Série D;RS
2.000.004.150;Brasil Suburbano;Sem divisão nacional;RJ
19.339.780;Brasileirinho;Sem divisão nacional;RJ
301.135;Brasília;Sem divisão nacional;DF
309.670;Brasiliense;Brasileirão Série D;DF
19.040.411;Brasilis;Sem divisão nacional;SP
301.136;Brazlândia;Sem divisão nacional;DF
309.781;Britânia (PR);Sem divisão nacional;PR
301.302;Brusque;Brasileirão Série C;SC
309.770;Brusquense;Sem divisão nacional;SC
19.036.923;Búzios;Sem divisão nacional;RJ
19.019.864;CA Audax (SP);Sem divisão nacional;SP
320.680;CA Estudantes (SP);Sem divisão nacional;SP
314.781;CA Guanabara (RJ);Sem divisão nacional;RJ
19.374.757;CAAC Brasil;Sem divisão nacional;RJ
303.014;Cabense;Sem divisão nacional;PE
