1937;;1959;;1960;;1961;;1962;;1963;;1964;;1965;;1966;;1967;
Melhor ataque (fase inicial);Internacional – 25 gols;;São Paulo;Melhor ataque (fase inicial);Cruzeiro – 30 gols;Melhor defesa (fase inicial);4 gols:;Melhor defesa (fase inicial);Santos ;Vice-campeão;São Paulo;Melhor marcador;Zico (Flamengo) – 21 gols;Estatísticas;;Campeão;Fluminense (2º título);Vice-campeão;Bangu
Melhor defesa (fase inicial);2 gols:;;XV de Piracicaba;Melhor defesa (fase inicial);Corinthians – 1 gol;;Brasil de Pelotas;1990;;Estatísticas;;1992;;Melhor marcador;Serginho (Santos) – 22 gols;Vice-campeão;Vasco da Gama;Estatísticas;
;Bahia;1987;;1988;;;Campinense;Colocações finais;;Melhor marcador;Nunes (Flamengo) – 16 gols;Colocações finais;;1993;;Estatísticas;;Melhor marcador;Edmar (Guarani) – 20 gols
;Guarani;Colocações finais;;Colocações finais;;1989;;Campeão;Corinthians (1º título);Melhor ataque (fase inicial);Vasco da Gama – 24 gols;Campeão;Flamengo (4º título);Colocações finais;;Melhor marcador;Roberto Dinamite (Vasco da Gama) – 16 gols;1995;
;Palmeiras;Campeão; Sport (1º título);Campeão;Bahia (2º título);Colocações finais;;Vice-campeão;São Paulo;Melhor defesa (fase inicial);4 gols:;Vice-campeão;Botafogo;Campeão;Palmeiras (7º título);Melhor ataque (fase inicial);20 gols:;Colocações finais;
1986;;Vice-campeão; Guarani;Vice-campeão;Internacional;Campeão;Vasco da Gama (2º título);Rebaixado(s);São José-SP;;Santos;Rebaixado(s);não houve;Vice-campeão;Vitória;;Santos;Campeão;Botafogo (2º título)
Colocações finais;;Estatísticas;;Estatísticas;;Vice-campeão;São Paulo;;Inter de Limeira;;Colorado;Estatísticas;;Rebaixado(s);América Mineiro;;Vasco da Gama;Vice-campeão;Santos
Campeão;São Paulo (2º título);Melhor marcador;Müll;Melhor marcador;Nilson (Internacional) – 15 gols;Estatísticas;;Estatísticas;;1991;;Melhor marcador;Bebeto (Vasco da Gama) – 18 gols;;Ceará;Melhor defesa (fase inicial);Fluminense – 11 g;Rebaixado(s);Paysandu
Vice-campeão;Guarani;1997;;Melhor ataque (fase inicial);Internacional – 35 gols;Melhor marcador;Túlio (Goiás) – 11 gols;Melhor marcador;Charles (Bahia) – 11 gols;Colocações finais;;Melhor ataque (fase inicial);Botafogo – 28 gols;;Coritiba;1994;;;União São João
Estatísticas;;Campeão;Vasco da Gama (3º título);Melhor defesa (fase inicial);Vasco da Gama – 14 gols;Melhor ataque (fase inicial);Náutico – 16 gols;2000;;Campeão;São Paulo (3º título);Melhor defesa (fase inicial);Bragantino – 13 gols;;Santa Cruz;Colocações finais;;Estatísticas;
Melhor marcador;Careca (São Paulo) – 25 gols;Vice-campeão;Palmeiras;1998;;Melhor defesa (fase inicial);Palmeiras – 5 gols;Colocações finais;;Vice-campeão;Bragantino;2002;;;Athletico Paranaense;Campeão;Palmeiras (8º título);Melhor marcador;Túlio (Botafogo) – 23 gols
Melhor ataque (fase inicial);São Paulo – 21 gols;Rebaixado(s);Bahia;Colocações finais;;1999;;Campeão;Vasco da Gama (4º título);Rebaixado(s);Grêmio;Colocações finais;;;Goiás;Vice-campeão;Corinthians;Melhor ataque (fase inicial);Santos – 44 gols
Melhor defesa (fase inicial);2 gols:;;Criciúma;Campeão;Corinthians (2º título);Colocações finais;;Vice-campeão;São Caetano;;Vitória;Campeão;Santos (7º título);;Fortaleza;Rebaixado(s);Remo;Melhor defesa (fase inicial);Fluminense – 16 gol
;Treze;;Fluminense;Vice-campeão;Cruzeiro;Campeão;Corinthians (3º título);Estatísticas;;Estatísticas;;Vice-campeão;Corinthians;;Desportiva Ferroviária;;Náutico;2005;
;Juventus-SP;;União São João;Rebaixado(s);América Mineiro;Vice-campeão;Atlético Mineiro;Melhor marcador;Adhemar (São Caetano) – 22 gols;Melhor marcador;Paulinho McLaren (Santos) – 15 gols;Rebaixado(s);Portuguesa;Estatísticas;;Estatísticas;;Colocações finais;
;Rio Negro-AM;Estatísticas;;;Goiás;Rebaixado(s);Gama;2010;;Melhor ataque (fase inicial);28 gols:;;Palmeiras;Melhor marcador;Guga (Santos) – 14 gols;Melhor marcador;19 gols:;Campeão;Corinthians (4º título)
1996;;Melhor marcador;Edmundo (Vasco da Gama) – 29 gols;;Bragantino;;Paraná;Colocações finais;;;Fluminense;;Gama;2003;;;Túlio (Botafogo);Vice-campeão;Internacional
Colocações finais;;Melhor ataque (fase inicial);Vasco da Gama – 55 gols;;América de Natal;;Juventude;Campeão;Fluminense (3º título);;Atlético Mineiro;;Botafogo;Colocações finais;;;Amoroso (Guarani);3.º colocado;Goiás
Campeão;Grêmio (2º título);Melhor defesa (fase inicial);Juventude – 20 gols;Estatísticas;;;Botafogo-SP;Vice-campeão;Cruzeiro;Melhor defesa (fase inicial);14 gols:;Estatísticas;;Campeão;Cruzeiro (2º título);2004;;4.º colocado;Palmeiras
Vice-campeão;Portuguesa;2007;;Melhor marcador;Viola (Santos) – 21 gols;Estatísticas;;3.º colocado;Corinthians;;São Paulo;Melhor marcador;19 gols:;Vice-campeão;Santos;Colocações finais;;Rebaixado(s);Coritiba
Rebaixado(s);Não houve Rebaixamento por conta de um suposto esquema de suborno na arbitragem;Colocações finais;;Melhor ataque (fase inicial);46 gols:;Melhor marcador;Guilherme (Atlético Mineiro) – 28 gols;4.º colocado;Grêmio;;Bragantino;;Luís Fabiano (São Paulo);3.º colocado;São Paulo;Campeão;Santos (8º título);;Atlético Mineiro
Estatísticas;;Campeão;São Paulo (5º título);;Santos;Melhor ataque (fase inicial);Corinthians – 49 gols;Rebaixado(s);Vitória;2010;;;Rodrigo Fabri (Grêmio);4.º colocado;São Caetano;Vice-campeão;Atlético Paranaense;;Paysandu
Melhor marcador;16 gols:;Vice-campeão;Santos;;Corinthians;Melhor defesa (fase inicial);Ponte Preta – 16 gols;;Guarani;Colocações finais;;Melhor ataque (fase inicial);São Paulo – 57 gols;Rebaixado(s);Fortaleza;3.º colocado;São Paulo;;Brasiliense
;Paulo Nunes (Grêmio);3.º colocado;Flamengo;;Palmeiras;2009;;;Goiás;Campeão;Athletico Paranaense (1º título);Melhor defesa (fase inicial);São Caetano – 28 gols;;Bahia;4.º colocado;Palmeiras;Estatísticas;
