1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
25; Ferroviário;11;8;3;2;3;11;12;-1;;;;;;;;;;;;;;
26; Colatina;9;6;3;0;3;4;6;-2;;;;;;;;;;;;;;
27; Operário-MS;9;6;2;3;1;9;10;-1;;;;;;;;;;;;;;
28; Baré;8;6;2;2;2;11;10;1;;;;;;;;;;;;;;
29; Gurupi;7;6;2;1;3;7;13;-6;;;;;;;;;;;;;;
30; Pauferrense;6;4;1;3;0;4;4;0;;;;;;;;;;;;;;
31; Catuense;6;6;1;3;2;4;6;-2;;;;;;;;;;;;;;
32; Uberlândia;4;6;1;1;4;7;9;-2;;;;;;;;;;;;;;
33; Pelotas;12;8;3;3;2;16;12;4;;;;;;;;;;;;;;
34; Comercial-SP;11;8;3;2;3;11;9;2;;;;;;;;;;;;;;
35; Avaí;11;8;3;2;3;15;15;0;;;;;;;;;;;;;;
36; Cori-Sabbá;10;6;3;1;2;7;7;0;;;;;;;;;;;;;;
37; Uberaba;10;6;3;1;2;4;4;0;;;;;;;;;;;;;;
38; União Bandeirante;10;8;2;4;2;7;7;0;;;;;;;;;;;;;;
39; Chapecoense;9;6;3;0;3;6;9;-2;;;;;;;;;;;;;;
40; Juventus-SC;9;6;2;3;1;7;6;1;;;;;;;;;;;;;;
41; Juventus;9;8;2;3;3;7;7;0;;;;;;;;;;;;;;
42; Tupi;8;8;2;2;4;4;11;-7;;;;;;;;;;;;;;
43; São Luíz;7;6;2;1;3;8;10;-2;;;;;;;;;;;;;;
44; Itabaiana;7;6;2;1;3;6;10;-4;;;;;;;;;;;;;;
45; Matsubara;6;8;1;3;4;11;19;-8;;;;;;;;;;;;;;
46; Barra Mansa;5;8;1;2;5;4;13;-9;;;;;;;;;;;;;;
47; São Raimundo-AM;4;4;1;1;2;6;9;-3;;;;;;;;;;;;;;
48; Anápolis;4;4;1;1;2;3;6;-3;;;;;;;;;;;;;;
49; Kaburé;4;4;1;1;2;3;6;-3;;;;;;;;;;;;;;
50; Galícia;4;6;1;1;4;5;13;-8;;;;;;;;;;;;;;
51; Brasil de Pelotas;4;8;0;4;4;5;14;-9;;;;;;;;;;;;;;
52; Vitória-ES;3;4;1;0;3;3;5;-2;;;;;;;;;;;;;;
53; Ríver;3;6;1;0;5;3;10;-7;;;;;;;;;;;;;;
54; Comercial-MS;2;4;0;2;2;0;2;-2;;;;;;;;;;;;;;
55; Confiança;2;4;0;2;2;4;7;-3;;;;;;;;;;;;;;
56; Planaltina;2;6;0;2;4;3;10;-7;;;;;;;;;;;;;;
57; Sãocarlense;2;6;0;2;4;2;9;-7;;;;;;;;;;;;;;
58; GAS;0;4;0;0;4;4;12;-8;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1997;;;;;;;;;;;;;;;;;;;;;;;
Grupo 1;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;ARR;BAR;JPR;SRA;Colocações finais;;;;;;;;
1; São Raimundo-AM;13;6;4;1;1;10;6;4;Atlético Roraima;—;1–0;0–0;3–1;Campeão;Sampaio Corrêa;;;;;;;
2; Ji-Paraná;10;6;3;1;2;8;5;3;Baré;1–0;—;2–4;1–1;Vice-campeão;Juventus-SP;;;;;;;
3; Atlético Roraima;7;6;2;1;3;7;8;–1;Ji-Paraná;3–1;3–1;—;0–1;Promovido(s);Sampaio Corrêa;;;;;;;
4; Baré;4;6;1;1;4;5;11;–6;São Raimundo-AM;3–2;2–0;2–0;—;;Juventus-SP;;;;;;;
;;;;;;;;;;;;;;;Estatísticas;;;;;;;;
Grupo 2;;;;;;;;;;;;;;;Melhor marcador;Marcelo Baron (Sampaio Corrêa) – 9 gols;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;4JU;RIV;SAM;SRO;Maior goleada;Tupi 8–1 Avaí;;;;;;;
1; Sampaio Corrêa;16;6;5;1;0;12;3;9;4 de Julho;—;2–1;0–1;3–1;(diferença);;;;;;;;
2; Santa Rosa;10;6;3;1;2;11;10;1;River-PI;3–3;—;1–2;2–5;;;;;;;;;
3; 4 de Julho;7;6;2;1;3;11;12;–1;Sampaio Corrêa;4–2;1–0;—;4–0;;;;;;;;;
4; River-PI;1;6;0;1;5;7;16;–9;Santa Rosa;2–1;3–0;0–0;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 3;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;FAC;PIC;POT;QUI;;;;;;;;;
1; Quixadá;12;6;3;3;0;8;3;5;Ferroviário;—;3–0;2–1;1–1;;;;;;;;;
2; Ferroviário;11;6;3;2;1;8;3;5;Picos;1–0;—;0–0;0–0;;;;;;;;;
3; Picos;5;6;1;2;3;3;7;–4;Potiguar de Mossoró;0–2;3–2;—;1–4;;;;;;;;;
4; Potiguar de Mossoró;4;6;1;1;4;6;12;–6;Quixadá;0–0;1–0;2–1;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 4;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;CSA;FOR;PTO;VPE;;;;;;;;;
1; CSA;11;6;3;2;1;9;4;5;CSA;—;2–0;1–1;3–0;;;;;;;;;
2; Porto-PE;8;6;1;5;0;8;6;2;Fortaleza;1–2;—;1–1;1–1;;;;;;;;;
3; Vitória das Tabocas;6;6;1;3;2;5;8;–3;Porto-PE;1–1;2–0;—;1–1;;;;;;;;;
4; Fortaleza;5;6;1;2;3;4;8;–4;Vitória-PE;1–0;0–1;2–2;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 5;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;ASA;FAR;JUA;LMS;;;;;;;;;
1; ASA;16;6;5;1;0;10;1;9;ASA;—;3–1;1–0;3–0;;;;;;;;;
2; Juazeiro;6;6;2;0;4;7;7;0;Flamengo-PE;0–1;—;2–1;1–1;;;;;;;;;
3; Limoeirense;6;6;1;3;2;2;5;–3;Juazeiro;0–2;5–1;—;1–0;;;;;;;;;
4; Flamengo de Arcoverde;5;6;1;2;3;5;11;–6;Limoeirense;0–0;0–0;1–0;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 6;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;CAT;CON;GAL;ITA;;;;;;;;;
1; Confiança;12;6;3;3;0;11;6;5;Catuense;—;0–0;2–1;1–2;;;;;;;;;
2; Itabaiana;10;6;3;1;2;12;9;3;Confiança;2–2;—;1–1;3–1;;;;;;;;;
3; Catuense;7;6;1;4;1;8;8;0;Galícia;2–2;1–3;—;2–3;;;;;;;;;
4; Galícia;2;6;0;2;4;7;15;–8;Itabaiana;1–1;1–2;4–0;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 7;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;GNA;ECO;OMS;UNR;;;;;;;;;
1; Goiânia;11;6;3;2;1;8;5;3;Goiânia;—;2–2;2–1;1–0;;;;;;;;;
2; Operário-MS;9;6;3;0;3;4;6;–2;EC Operário;0–1;—;2–0;4–0;;;;;;;;;
3; EC Operário;8;6;2;2;2;9;5;4;Operário-MS;2–1;1–0;—;1–0;;;;;;;;;
4; União Rondonópolis;5;6;1;2;3;3;8;–5;União Rondonópolis;1–1;1–1;1–0;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 8;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;BSA;CLN;PMS;TEC;;;;;;;;;
1; Palmas;9;6;3;0;3;5;6;–1;Brasília;—;4–1;4–0;0–0;;;;;;;;;
2; Brasília;9;6;2;3;1;11;6;5;Ceilandense;1–1;—;0–1;2–1;;;;;;;;;
3; Tocantinópolis;8;6;2;2;2;5;6;–1;Palmas;2–0;0–1;—;0–1;;;;;;;;;
4; Ceilandense;7;6;2;1;3;5;8;–3;Tocantinópolis;2–2;1–0;0–2;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 9;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;AME;CGR;RBC;TUP;;;;;;;;;
1; Tupi;11;6;3;2;1;7;4;3;America;—;1–0;0–1;0–1;;;;;;;;;
2; Rio Branco-ES;10;6;3;1;2;6;5;1;Campo Grande-RJ;0–0;—;0–1;0–0;;;;;;;;;
3; America;7;6;2;1;3;4;6;–2;Rio Branco-ES;3–1;0–0;—;0–2;;;;;;;;;
4; Campo Grande;4;6;0;4;2;1;3;–2;Tupi;1–2;1–1;2–1;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 10;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;ASO;JSP;PSA;RSP;;;;;;;;;
1; Juventus-SP;14;6;4;2;0;12;6;6;Atlético Sorocaba;—;0–1;4–2;1–0;;;;;;;;;
2; Atlético Sorocaba;13;6;4;1;1;10;6;4;Juventus-SP;2–2;—;4–2;1–1;;;;;;;;;
3; Portuguesa Santista;6;6;2;0;4;8;12;–4;Portuguesa Santista;0–1;1–2;—;2–1;;;;;;;;;
4; Rio Branco-SP;1;6;0;1;5;3;9;–6;Rio Branco-SP;1–2;0–2;0–1;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 11;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;APS;IBR;MCL;UEC;;;;;;;;;
1; Uberlândia;16;6;5;1;0;16;2;14;Anápolis;—;4–1;0–2;2–2;;;;;;;;;
2; Montes Claros;10;6;3;1;2;5;7;–2;Itumbiara;0–0;—;0–1;0–1;;;;;;;;;
3; Anápolis;5;6;1;2;3;6;9;–3;Montes Claros;1–0;1–1;—;0–2;;;;;;;;;
4; Itumbiara;2;6;0;2;4;2;11;–9;Uberlândia;3–0;4–0;4–0;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 12;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;ITL;SJE;SOC;VNO;;;;;;;;;
1; Inter de Limeira;12;6;4;0;2;11;10;1;Inter de Limeira;—;2–1;2–1;2–0;;;;;;;;;
2; Social;10;6;3;1;2;10;6;4;São José-SP;4–1;—;2–2;2–1;;;;;;;;;
3; São José-SP;10;6;3;1;2;11;8;3;Social;2–1;1–0;—;4–0;;;;;;;;;
4; Villa Nova;3;6;1;0;5;5;13;–8;Villa Nova;2–3;1–2;1–0;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 13;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;ARP;FRA;MGA;UBN;;;;;;;;;
1; Francana;12;6;4;0;2;7;5;2;América-SP;—;3–0;0–0;0–3;;;;;;;;;
2; União Bandeirante;9;6;3;0;3;7;8;–1;Francana;1–0;—;1–0;3–0;;;;;;;;;
3; América-SP;8;6;2;2;2;4;4;0;Maringá;0–0;0–1;—;1–2;;;;;;;;;
4; Maringá;5;6;1;2;3;3;4;–1;U. Bandeirante;0–1;2–1;0–2;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 14;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;15N;CHA;ISM;PGR;;;;;;;;;
1; Ponta Grossa;12;6;4;0;2;5;3;2;15 de Novembro;—;0–0;1–1;1–0;;;;;;;;;
2; Inter de Santa Maria;10;6;3;1;2;6;5;1;Chapecoense;1–0;—;2–1;0–1;;;;;;;;;
3; Chapecoense;7;6;2;1;3;3;4;–1;Inter de Santa Maria;2–1;1–0;—;1–0;;;;;;;;;
4; 15 de Novembro;5;6;1;2;3;4;6;–2;Ponta Grossa;2–1;1–0;1–0;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 15;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;AVA;BLU;CAX;PTA;;;;;;;;;
1; Caxias;12;6;3;3;0;10;5;5;Avaí;—;2–0;0–1;3–4;;;;;;;;;
2; Avaí;7;6;2;1;3;7;7;0;Blumenau;1–0;—;1–1;2–0;;;;;;;;;
3; Paulista;7;6;2;1;3;10;11;–1;Caxias;1–1;2–0;—;3–1;;;;;;;;;
4; Blumenau;7;6;2;1;3;4;8;–4;Paulista;0–1;3–0;2–2;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 16;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;BPE;FIG;SJO;TFC;;;;;;;;;
1; Figueirense;13;6;4;1;1;14;11;3;Brasil de Pelotas;—;1–1;2–0;1–0;;;;;;;;;
2; São José-RS;10;6;3;1;2;11;9;2;Figueirense;1–0;—;3–1;3–2;;;;;;;;;
3; Brasil de Pelotas;7;6;2;1;3;5;7;–2;São José-RS;1–0;5–2;—;1–1;;;;;;;;;
4; Tubarão FC;4;6;1;1;4;10;13;–3;Tubarão FC;4–1;2–4;1–3;—;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1998;;;;;;;;;;;;;;;;;;;;;;;
Classificação Geral;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;Pts;J;V;E;D;GP;GC;SG;Campeão; Avaí (1º título);;;;;;;;;;;;
1; Avaí;37;22;10;7;5;43;28;15;Vice-campeão; São Caetano;;;;;;;;;;;;
2; São Caetano;50;22;15;5;2;30;11;19;Estatísticas;;;;;;;;;;;;;
3; Anapolina;40;20;11;7;2;46;14;32;Melhor marcador;Kléber Pereira (Moto Club);;;;;;;;;;;;
4; Itabaiana;34;22;9;7;6;28;24;4;As maiores goleadas do Campeonato Brasileiro da Série C de 1998 terminaram com a mesma diferença de sete gols: Confiança 7 x 0 Treze (9 de agosto), Anapolina 7 x 0 Alvorada (16 de agosto) e Ferroviário 7 x 0 Cori-Sabbá (28 de setembro). [1];;;;;;;;;;;;;
5; Brasil de Pelotas;31;16;9;4;3;27;15;12;;;;;;;;;;;;;;
6; São Raimundo-AM;27;16;7;7;3;22;16;6;;;;;;;;;;;;;;
7; Esporte Limoeiro;26;16;8;2;6;27;29;-2;;;;;;;;;;;;;;
8; Rio Branco-SP;26;16;6;8;2;28;19;9;;;;;;;;;;;;;;
9; Moto Club;25;14;7;4;3;20;13;7;;;;;;;;;;;;;;
10; 15 de Novembro;24;14;7;3;4;27;24;3;;;;;;;;;;;;;;
11; Noroeste;22;14;6;4;4;19;16;3;;;;;;;;;;;;;;
12; Santo André;22;14;6;4;4;16;15;1;;;;;;;;;;;;;;
13; Confiança;21;14;7;0;7;24;21;3;;;;;;;;;;;;;;
14; Potiguar;21;14;5;6;3;19;14;5;;;;;;;;;;;;;;
15; Anápolis;17;12;5;2;5;12;11;1;;;;;;;;;;;;;;
16; América-RJ;17;14;5;2;7;16;20;-4;;;;;;;;;;;;;;
17; América-SP;26;12;8;2;2;27;11;16;;;;;;;;;;;;;;
18; Mogi Mirim;21;12;6;3;3;17;12;5;;;;;;;;;;;;;;
19; São Francisco;21;12;6;3;3;17;13;4;;;;;;;;;;;;;;
20; Vênus;20;12;6;2;4;17;17;0;;;;;;;;;;;;;;
21; Caxias;20;12;5;5;2;22;13;9;;;;;;;;;;;;;;
22; Rio Branco-MG;20;12;5;5;2;13;10;3;;;;;;;;;;;;;;
23; Botafogo-PB;19;12;6;1;5;20;16;4;;;;;;;;;;;;;;
24; Atlético Sorocaba;19;12;6;1;5;15;12;3;;;;;;;;;;;;;;
25; Tupi;19;12;5;4;3;14;10;4;;;;;;;;;;;;;;
26; Viana;19;12;5;4;3;18;11;7;;;;;;;;;;;;;;
27; Comercial;16;12;5;1;6;21;24;-3;;;;;;;;;;;;;;
28; Juazeiro;16;12;4;4;4;15;15;0;;;;;;;;;;;;;;
29; Villa Nova;15;12;4;3;5;14;14;0;;;;;;;;;;;;;;
30; Figueirense;15;12;4;3;5;16;20;-4;;;;;;;;;;;;;;
31; Picos;15;12;3;6;3;14;15;-1;;;;;;;;;;;;;;
32; São José-RS;15;12;3;6;3;13;14;-1;;;;;;;;;;;;;;
33; Nacional-AM;16;10;5;1;4;18;14;4;;;;;;;;;;;;;;
34; Pelotas;16;10;5;1;4;16;13;3;;;;;;;;;;;;;;
35; Nacional-SP;16;10;4;4;2;9;6;3;;;;;;;;;;;;;;
36; Icasa;15;10;4;3;3;11;9;2;;;;;;;;;;;;;;
37; Catuense;14;10;4;2;4;13;14;-1;;;;;;;;;;;;;;
38; Ferroviário;13;10;3;4;3;20;17;3;;;;;;;;;;;;;;
39; Fortaleza;13;10;3;4;3;18;15;3;;;;;;;;;;;;;;
40; União Bandeirante;13;10;3;4;3;15;13;2;;;;;;;;;;;;;;
41; Friburguense;13;10;3;4;3;12;13;-1;;;;;;;;;;;;;;
42; CSA;12;10;4;0;6;11;13;-2;;;;;;;;;;;;;;
43; Rio Branco-PR;12;10;3;3;4;15;16;-1;;;;;;;;;;;;;;
44; Rioverdense;12;10;3;3;4;11;12;-1;;;;;;;;;;;;;;
45; Paranavaí;12;10;3;3;4;9;14;-5;;;;;;;;;;;;;;
46; Goiânia;11;8;3;2;3;11;9;2;;;;;;;;;;;;;;
47; Matonense;11;10;3;2;5;11;14;-3;;;;;;;;;;;;;;
48; Treze;11;10;3;2;5;11;20;-9;;;;;;;;;;;;;;
49; Campinense;10;10;2;4;4;16;17;-1;;;;;;;;;;;;;;
50; Rio Branco-ES;10;10;2;4;4;9;10;-1;;;;;;;;;;;;;;
51; Baré;10;10;2;4;4;10;12;-2;;;;;;;;;;;;;;
52; Campo Grande;10;10;2;4;4;12;17;-5;;;;;;;;;;;;;;
53; Etti Jundiaí;8;10;2;2;6;11;16;-5;;;;;;;;;;;;;;
54; Tubarão;8;10;2;2;6;13;21;-8;;;;;;;;;;;;;;
55; Alvorada;8;8;2;2;4;6;21;-15;;;;;;;;;;;;;;
56; Baraúnas;8;10;1;5;4;10;18;-8;;;;;;;;;;;;;;
57; Blumenau;6;10;1;3;6;11;22;-11;;;;;;;;;;;;;;
58; Chapecoense;6;10;1;3;6;11;26;-15;;;;;;;;;;;;;;
59; Madureira;6;10;0;6;4;7;15;-8;;;;;;;;;;;;;;
60; CFZ;4;10;1;1;8;4;13;-9;;;;;;;;;;;;;;
61; Francana;4;10;1;1;8;7;22;-15;;;;;;;;;;;;;;
62; Palmas;4;8;0;4;4;8;15;-7;;;;;;;;;;;;;;
63; Ubiratan;3;10;0;3;7;2;17;-15;;;;;;;;;;;;;;
64; Corisabbá;3;10;0;3;7;7;27;-20;;;;;;;;;;;;;;
65; Santos-AP;1;10;0;1;9;2;16;-14;;;;;;;;;;;;;;
66; Itumbiara;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;
Tabela de classificação;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Fluminense (1º título);;;;;;;;;;;;
1; Fluminense;48;22;15;3;4;38;20;18;Vice-campeão; São Raimundo;;;;;;;;;;;;
2; São Raimundo-AM;41;21;13;2;6;39;22;17;Estatísticas;;;;;;;;;;;;;
3; Serra;39;22;12;3;7;32;25;7;Melhor marcador;Aldrovani Menon (Figueirense) – 13 gols;;;;;;;;;;;;
4; Náutico;42;21;13;3;5;44;20;24;A maior goleada do Campeonato Brasileiro Série C de 1999 foi a vitória do Caxias por 6 a 0 sobre o América-SP, realizada no Estádio Centenário, em Caxias do Sul, no dia 3 de outubro de 1999;;;;;;;;;;;;;
5; Caxias;30;16;8;6;2;30;12;18;;;;;;;;;;;;;;
6; Figueirense;29;15;8;5;2;32;19;13;;;;;;;;;;;;;;
7; Americano;27;16;8;3;5;20;17;3;;;;;;;;;;;;;;
8; Sergipe;27;15;8;3;4;20;18;2;;;;;;;;;;;;;;
9; Potiguar de Mossoró;21;13;7;0;6;16;16;0;;;;;;;;;;;;;;
10; Villa Nova;21;13;6;3;4;17;15;2;;;;;;;;;;;;;;
11; Rio Negro-AM;20;12;6;2;4;25;15;10;;;;;;;;;;;;;;
12; Botafogo-PB;19;12;6;1;5;19;15;4;;;;;;;;;;;;;;
13; Moto Club;19;13;6;1;6;15;13;2;;;;;;;;;;;;;;
14; Juventus-SP;18;13;5;3;5;10;14;-4;;;;;;;;;;;;;;
15; Brasil de Pelotas;16;12;5;1;6;17;17;0;;;;;;;;;;;;;;
16; Ypiranga-AP;15;12;5;0;7;19;30;-11;;;;;;;;;;;;;;
17; Rio Branco-PR;15;10;4;3;3;17;17;0;;;;;;;;;;;;;;
18; Atlético Goianiense;14;10;4;2;4;15;11;4;;;;;;;;;;;;;;
19; Picos;14;10;4;2;4;10;13;-3;;;;;;;;;;;;;;
20; Bangu;14;10;3;5;2;10;7;3;;;;;;;;;;;;;;
21; Fortaleza;13;10;4;1;5;16;15;1;;;;;;;;;;;;;;
22; Juventude-MT;13;10;4;1;5;8;10;-2;;;;;;;;;;;;;;
23; CSA;13;10;3;4;3;14;9;5;;;;;;;;;;;;;;
24; Anapolina;14;10;4;2;4;11;9;2;;;;;;;;;;;;;;
25; Goiânia;14;10;2;2;6;8;15;-7;;;;;;;;;;;;;;
26; Itabaiana;12;10;3;3;4;14;16;-2;;;;;;;;;;;;;;
27; Castanhal;12;10;3;3;4;13;18;-5;;;;;;;;;;;;;;
28; Unibol;10;10;2;4;4;13;16;-3;;;;;;;;;;;;;;
29; Ji-Paraná;9;10;2;3;5;12;20;-8;;;;;;;;;;;;;;
30; América-SP;9;10;2;3;5;13;25;-12;;;;;;;;;;;;;;
31; Vasco-AC;6;10;1;3;6;11;18;-17;;;;;;;;;;;;;;
32; Tocantinópolis;5;10;1;2;7;8;22;-14;;;;;;;;;;;;;;
33; Volta Redonda;4;10;1;1;8;9;22;-13;;;;;;;;;;;;;;
34; Fluminense de Feira;4;10;1;1;8;8;25;-17;;;;;;;;;;;;;;
35; Operário-MS;4;10;0;4;6;10;22;-12;;;;;;;;;;;;;;
36; Dom Pedro;2;10;0;2;8;6;21;-15;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;
Grupo A;;;;;;;;;;;;;;;;;;;;;;;
Módulo Verde;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Tuna Luso;26;12;8;2;2;25;15;;;;;;;;;;;;;;;
2; Central;22;12;7;1;4;16;15;;;;;;;;;;;;;;;
3; Moto Club;18;12;5;3;4;24;17;;;;;;;;;;;;;;;
4; Botafogo-PB;17;12;5;2;5;22;17;;;;;;;;;;;;;;;
5; Porto;16;12;5;1;6;15;13;;;;;;;;;;;;;;;
6; Treze;16;12;5;1;6;16;17;;;;;;;;;;;;;;;
7; Potiguar;6;12;2;0;10;9;33;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Verde;;;;;;;;;;;;;;;;;;;;;;
Grupo B;;;;;;;;;;;;;;;;;;;;;;;
Módulo Verde;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Corinthians-AL;27;12;8;3;1;16;8;;;;;;;;;;;;;;;
2; Juazeiro;23;12;7;2;3;15;9;;;;;;;;;;;;;;;
3; Confiança;18;12;5;3;4;10;11;;;;;;;;;;;;;;;
4; Sergipe;17;12;5;2;5;15;14;;;;;;;;;;;;;;;
5; ASA;15;12;4;3;5;11;13;;;;;;;;;;;;;;;
6; Camaçari;12;12;3;3;6;13;11;;;;;;;;;;;;;;;
7; Campinense;5;12;1;2;9;9;23;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Verde;;;;;;;;;;;;;;;;;;;;;;
Grupo C;;;;;;;;;;;;;;;;;;;;;;;
Módulo Verde;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Flamengo-PI;22;12;7;1;4;18;11;;;;;;;;;;;;;;;
2; Ypiranga-AP;20;12;6;2;4;23;19;;;;;;;;;;;;;;;
3; Tocantinópolis;19;12;6;1;5;16;14;;;;;;;;;;;;;;;
4; Rio Branco;18;12;5;3;4;20;16;;;;;;;;;;;;;;;
5; Baré;17;12;5;2;5;21;15;;;;;;;;;;;;;;;
6; Rio Negro;17;12;5;2;5;12;14;;;;;;;;;;;;;;;
7; Genus;7;12;2;1;9;16;37;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Verde;;;;;;;;;;;;;;;;;;;;;;
Grupo D;;;;;;;;;;;;;;;;;;;;;;;
Módulo Verde;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Operário-MS;17;10;5;2;3;13;11;;;;;;;;;;;;;;;
2; Dom Pedro II;15;10;4;3;3;11;9;;;;;;;;;;;;;;;
3; Atlético Goianiense;15;10;4;3;3;9;9;;;;;;;;;;;;;;;
4; Goiânia;13;10;3;4;3;15;14;;;;;;;;;;;;;;;
5; Comercial-MS;11;10;3;2;5;9;10;;;;;;;;;;;;;;;
6; Brasília;11;10;3;2;5;10;14;;;;;;;;;;;;;;;
Nota: O ;;;;;;;;;;;;;;;;;;;;;;;
 Interporto desistiu de participar antes do início da competição.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Verde;;;;;;;;;;;;;;;;;;;;;;
Grupo E;;;;;;;;;;;;;;;;;;;;;;;
Módulo Branco;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Rio Branco-SP;21;10;6;3;1;23;10;;;;;;;;;;;;;;;
2; Juventus;21;10;6;3;1;20;10;;;;;;;;;;;;;;;
3; Uberlândia;18;10;5;3;2;15;14;;;;;;;;;;;;;;;
4; Nacional-SP;13;10;4;1;5;13;21;;;;;;;;;;;;;;;
5; Volta Redonda;9;10;2;3;5;10;14;;;;;;;;;;;;;;;
6; São José;1;10;0;1;9;8;20;;;;;;;;;;;;;;;
Nota : O ;;;;;;;;;;;;;;;;;;;;;;;
 Rio Branco-ES desistiu de participar antes do início da competição.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificado para a segunda fase do Módulo Branco;;;;;;;;;;;;;;;;;;;;;;
Grupo F;;;;;;;;;;;;;;;;;;;;;;;
Módulo Branco;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GM;GS;;;;;;;;;;;;;;;
1; Etti Jundiaí;31;12;10;1;1;40;8;;;;;;;;;;;;;;;
2; Malutrom;22;12;6;4;2;21;15;;;;;;;;;;;;;;;
